epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21912119,3.8035517004362545,0.001,0.26654363,3.3534779860277726
1,0.6781289,1.6455502944787113,0.001,0.82540333,0.6889308630719287
2,0.71593374,1.1747465914575344,0.001,0.87134266,0.3937373103720098
3,0.90360785,0.3381843875527425,0.001,0.95433414,0.14622971358130177
4,0.84030354,0.6910046955822036,0.001,0.9530353,0.16270388863315577
5,0.9317906,0.2661678851169301,0.001,0.963563,0.11319410036979378
6,0.94706976,0.2104146897156325,0.001,0.8458436,2.759464904213656
7,0.95958024,0.15314767734183407,0.001,0.91796553,2.374380633481879
8,0.9605715,0.158322636410898,0.001,0.9766202,0.07606402631014501
9,0.97627795,0.08959117833702991,0.001,0.70884603,1.3975111571269705
10,0.9658184,0.1428817033281506,0.001,0.9872163,0.04448803068987551
11,0.9851139,0.05980731359201064,0.001,0.9775089,0.07903052787425718
12,0.96253693,0.15172880776225448,0.001,0.9843451,0.05412273819769342
13,0.98266995,0.0696371466510882,0.001,0.9822942,0.06469255942455283
14,0.9884979,0.04173484151746923,0.001,0.9930271,0.025540260209375724
15,0.97530377,0.11296217646141322,0.001,0.98352474,0.0545299908179194
16,0.9855241,0.05377588332424986,0.001,0.98913044,0.03915005037393137
17,0.98933536,0.04304432717778662,0.001,0.9910446,0.03125736018129917
18,0.991335,0.03418103177547127,0.001,0.98769486,0.04566675675707851
19,0.9870623,0.05402063358038594,0.001,0.9929587,0.025939431478608298
